glosa,fecha,id,cuenta_id,centro_costo_id,tipo,valor
"OJALADORA DRIVE DS 781AT
SERIE: 230701001
Botonera direct drive DOSO
MODEL: DS-1377AT SERIE:
DSK23595",01/04/2025,01dNvVo4pIxrrdX7,DGe73Y47BH6xxen2,,H,2500.01
polifan,01/04/2025,RBe3AkmEQIMJJbLJ,loejR5DBBUJMMeQM,,D,29.65
alm,01/04/2025,Y4er3Pllphj00a2L,Y4erkBOW4Uj00a2L,,D,6.94
varios,01/04/2025,9pdBWDMQkfm99e8K,nPeER14y4hGJJap1,,D,24.64
"FOUR WAY STRETCH 60 GRIS
OSCURo",01/04/2025,wKe5Dmv4ZIKQQd31,Ejb2k2VNzsGJJdVN,,D,46.56
polifan,01/04/2025,RBe3AkmEQIMJJbLJ,nPeER14y4hGJJap1,,D,4.45
"FOUR WAY STRETCH 60 GRIS
OSCURo",01/04/2025,wKe5Dmv4ZIKQQd31,DGe73Y47BH6xxen2,,H,53.54
varios,01/04/2025,9pdBWDMQkfm99e8K,DGe73Y47BH6xxen2,,H,188.93
com,01/04/2025,XKdw3XqOgsQzzdgW,nPeER14y4hGJJap1,,D,0.91
com,01/04/2025,XKdw3XqOgsQzzdgW,RMdR6k9yOFlkkdl6,,D,6.09
alm,01/04/2025,Y4er3Pllphj00a2L,nPeER14y4hGJJap1,,D,1.04
"FOUR WAY STRETCH 60 GRIS
OSCURo",01/04/2025,wKe5Dmv4ZIKQQd31,nPeER14y4hGJJap1,,D,6.98
polifan,01/04/2025,RBe3AkmEQIMJJbLJ,DGe73Y47BH6xxen2,,H,34.10
"Doc. 002-100-000049829,   varios",01/04/2025,gQbWDQVEJhYggd6w,PnazpQZ4OIBppdO2,,H,188.93
com,01/04/2025,XKdw3XqOgsQzzdgW,DGe73Y47BH6xxen2,,H,7.00
"Doc. 001-001-000000413,   Descifrar ""Ezequiel Toro""",01/05/2025,BleXJG7ykiNyybrN,loejqlr84CJMMdQM,,D,73.60
"Doc. 001-003-000217028,   HILO DE BORDAR PRIME PRIME 5000M",01/05/2025,xgepxALz2HLNNe1p,MEegLgo2jhWxxaQ5,,H,4.00
"Doc. 001-001-000000414,   Uniformes PLASTILED S.A",01/05/2025,XKdwWjoBJHQzzdgW,MEegLgo2jhWxxaQ5,,D,301.12
"Doc. 001-001-000000414,   Uniformes PLASTILED S.A",01/05/2025,XKdwWjoBJHQzzdgW,JvaM8N4KRt800epz,,H,301.12
COMISION DE VENTAS,01/05/2025,jZdyKgwAWHWzzaJ4,DGe73Y47BH6xxen2,,H,300.00
ALMUERZO,01/05/2025,O8bYg6m6YcZJJe7j,nPeER14y4hGJJap1,,D,1.24
ALMUERZO,01/05/2025,O8bYg6m6YcZJJe7j,DGe73Y47BH6xxen2,,H,9.48
ALMUERZO,01/05/2025,O8bYg6m6YcZJJe7j,Y4erkBOW4Uj00a2L,,D,8.24
HILO DE BORDAR PRIME PRIME 5000M,01/05/2025,Gge0QgPW7iWDDaAD,nPeER14y4hGJJap1,,D,0.52
"Doc. 001-001-000000413,   Descifrar ""Ezequiel Toro""",01/05/2025,BleXJG7ykiNyybrN,JvaM8N4KRt800epz,,H,73.60
HILO DE BORDAR PRIME PRIME 5000M,01/05/2025,Gge0QgPW7iWDDaAD,Ejb2k2VNzsGJJdVN,,D,3.48
"Doc. 001-003-000217028,   HILO DE BORDAR PRIME PRIME 5000M",01/05/2025,xgepxALz2HLNNe1p,DGe73Y47BH6xxen2,,D,4.00
9700003000181 CONTIFICO - ESENCIAL,01/05/2025,KVeZj4N1JtRVVe8P,nPeER14y4hGJJap1,,D,6.14
9700003000181 CONTIFICO - ESENCIAL,01/05/2025,KVeZj4N1JtRVVe8P,DGe73Y47BH6xxen2,,H,47.10
LOS BRACHOS,01/05/2025,y7aA0k7zBSo33egZ,DGe73Y47BH6xxen2,,H,300.00
LOS BRACHOS,01/05/2025,y7aA0k7zBSo33egZ,PnazpQZAOTBppdO2,,D,300.00
LOS BRACHOS,01/05/2025,PnazLjNDruBppdO2,DGe73Y47BH6xxen2,,D,300.00
9700003000181 CONTIFICO - ESENCIAL,01/05/2025,KVeZj4N1JtRVVe8P,RMdRo9qKOilkkel6,,D,40.96
068CMC04464AOZOVERSION TEAMPLA,01/05/2025,wKe5Y8X3xtKQQe31,nPeER14y4hGJJap1,,D,8.48
068CMC04464AOZOVERSION TEAMPLA,01/05/2025,wKe5Y8X3xtKQQe31,DGe73Y47BH6xxen2,,H,64.99
068CMC04464AOZOVERSION TEAMPLA,01/05/2025,wKe5Y8X3xtKQQe31,Ejb2k2VNzsGJJdVN,,D,56.51
LOS BRACHOS,01/05/2025,PnazLjNDruBppdO2,MEegLgo2jhWxxaQ5,,H,300.00
HILO DE BORDAR PRIME PRIME 5000M,01/05/2025,Gge0QgPW7iWDDaAD,DGe73Y47BH6xxen2,,H,4.00
"Doc. 001-001-000758116,   9700003000181 CONTIFICO - ESENCIAL",01/05/2025,LqdPByWZ1smrral4,MEegLgo2jhWxxaQ5,,H,47.10
COMISION DE VENTAS,01/05/2025,JvaMyzZKAf800apz,DGe73Y47BH6xxen2,,D,300.00
COMISION DE VENTAS,01/05/2025,JvaMyzZKAf800apz,MEegLgo2jhWxxaQ5,,H,300.00
PAGO SEGUNDA QUINCENA DE ABRIL,01/05/2025,Yjbqy49NGcrPPbLN,MEegLgo2jhWxxaQ5,,H,865.00
"Doc. 033-030-000246550,   068CMC04464AOZOVERSION TEAMPLA",01/05/2025,Arb6P1G19i9AAeyR,MEegLgo2jhWxxaQ5,,H,64.99
"Doc. 001-001-000758116,   9700003000181 CONTIFICO - ESENCIAL",01/05/2025,LqdPByWZ1smrral4,DGe73Y47BH6xxen2,,D,47.10
"Doc. 033-030-000246550,   068CMC04464AOZOVERSION TEAMPLA",01/05/2025,Arb6P1G19i9AAeyR,DGe73Y47BH6xxen2,,D,64.99
COMISION DE VENTAS,01/05/2025,jZdyKgwAWHWzzaJ4,PnazpQZAOTBppdO2,,D,300.00
"Descifrar ""Emilia Guillén""",01/05/2025,BXdLEq9mAIOppeJZ,nPeER14mgIGJJap1,,H,18.00
"Descifrar ""Emilia Guillén""",01/05/2025,BXdLEq9mAIOppeJZ,nPeER14mgIGJJap1,,H,25.00
"Descifrar ""Emilia Guillén""",01/05/2025,BXdLEq9mAIOppeJZ,RMdR6k90VFlkkdl6,,H,6.45
"Descifrar ""Emilia Guillén""",01/05/2025,BXdLEq9mAIOppeJZ,JvaM8N4KRt800epz,,D,49.45
Uniformes EPIC JOURNEY,01/05/2025,RBe3NAlB4sMJJdLJ,nPeER14mgIGJJap1,,H,116.00
Uniformes EPIC JOURNEY,01/05/2025,RBe3NAlB4sMJJdLJ,RMdR6k90VFlkkdl6,,H,17.40
Uniformes EPIC JOURNEY,01/05/2025,RBe3NAlB4sMJJdLJ,JvaM8N4KRt800epz,,D,133.40
"Descifrar ""Ezequiel Toro""",01/05/2025,Lmav1ALP8Cgjje3N,nPeER14mgIGJJap1,,H,5.00
"Descifrar ""Ezequiel Toro""",01/05/2025,Lmav1ALP8Cgjje3N,nPeER14mgIGJJap1,,H,16.00
"Descifrar ""Ezequiel Toro""",01/05/2025,Lmav1ALP8Cgjje3N,nPeER14mgIGJJap1,,H,18.00
"Descifrar ""Ezequiel Toro""",01/05/2025,Lmav1ALP8Cgjje3N,nPeER14mgIGJJap1,,H,25.00
"Descifrar ""Ezequiel Toro""",01/05/2025,Lmav1ALP8Cgjje3N,RMdR6k90VFlkkdl6,,H,9.60
"Descifrar ""Ezequiel Toro""",01/05/2025,Lmav1ALP8Cgjje3N,JvaM8N4KRt800epz,,D,73.60
Uniformes PLASTILED S.A,01/05/2025,EMaxgDzOEC044e5G,nPeER14mgIGJJap1,,H,261.84
Uniformes PLASTILED S.A,01/05/2025,EMaxgDzOEC044e5G,RMdR6k90VFlkkdl6,,H,39.28
Uniformes PLASTILED S.A,01/05/2025,EMaxgDzOEC044e5G,JvaM8N4KRt800epz,,D,301.12
COMISIONISTA POR SERVICIOS EFECTUADOS,01/05/2025,loejoq5WRcJMMaQM,DGe73Y47BH6xxen2,,H,50.00
COMISIONISTA POR SERVICIOS EFECTUADOS,01/05/2025,loejoq5WRcJMMaQM,nPeER14y4hGJJap1,,D,6.52
PAGO SEGUNDA QUINCENA DE ABRIL,01/05/2025,Yjbqy49NGcrPPbLN,Lmav2RVv5cgjja3N,,D,865.00
TALLER SANITA KOYA BELGICA CABELLO MELIDA,01/05/2025,1qdGpq7LKSlppeN8,MEegLgo2jhWxxaQ5,,H,700.00
"Doc. 001-001-000000411,   Descifrar ""Emilia Guillén""",01/05/2025,RBe3AjX79FMJJbLJ,JvaM8N4KRt800epz,,H,49.45
"Doc. 001-001-000000411,   Descifrar ""Emilia Guillén""",01/05/2025,RBe3AjX79FMJJbLJ,MEegLgo2jhWxxaQ5,,D,49.45
"Doc. 001-001-000000412,   Uniformes EPIC JOURNEY",01/05/2025,RMdRzyMB0ulkkdl6,MEegLgo2jhWxxaQ5,,D,82.80
COMISIONISTA POR SERVICIOS EFECTUADOS,01/05/2025,loejoq5WRcJMMaQM,PnazpQZwysBppdO2,,D,43.48
"Doc. 001-001-000000412,   Uniformes EPIC JOURNEY",01/05/2025,RMdRzyMB0ulkkdl6,JvaM8N4KRt800epz,,H,82.80
TALLER SANITA KOYA BELGICA CABELLO MELIDA,01/05/2025,1qdGpq7LKSlppeN8,DGe73Y47BH6xxen2,,D,700.00
"Doc. 005-003-000037609,   ALMUERZO",01/05/2025,BXdLxkQwrcOppdJZ,PnazpQZ4OIBppdO2,,H,9.48
"Doc. 005-003-000037609,   ALMUERZO",01/05/2025,BXdLxkQwrcOppdJZ,DGe73Y47BH6xxen2,,D,9.48
"Doc. 002-002-000000065,   COMISIONISTA POR SERVICIOS EFECTUADOS",01/05/2025,01dNzAD8pFxrrdX7,MEegLgo2jhWxxaQ5,,H,50.00
TALLER SANITA KOYA BELGICA CABELLO MELIDA,01/05/2025,QzaOABoWRHX99dp4,PnazpQZAOTBppdO2,,D,700.00
"Doc. 002-002-000000065,   COMISIONISTA POR SERVICIOS EFECTUADOS",01/05/2025,01dNzAD8pFxrrdX7,DGe73Y47BH6xxen2,,D,50.00
TALLER SANITA KOYA BELGICA CABELLO MELIDA,01/05/2025,QzaOABoWRHX99dp4,DGe73Y47BH6xxen2,,H,700.00
9700003000232 CONTIFICO - CONTIFICO PAYROL 5,01/06/2025,pgenK8ZqRiLqqaNQ,DGe73Y47BH6xxen2,,H,47.10
9700003000232 CONTIFICO - CONTIFICO PAYROL 5,01/06/2025,pgenK8ZqRiLqqaNQ,RMdRo9qKOilkkel6,,D,40.96
9700003000232 CONTIFICO - CONTIFICO PAYROL 5,01/06/2025,pgenK8ZqRiLqqaNQ,nPeER14y4hGJJap1,,D,6.14
"Doc. 001-001-000772332,   9700003000232 CONTIFICO - CONTIFICO PAYROL 5",01/06/2025,01dNz3O66IxrrdX7,xmbmZ8JV3IYKKdoK,,H,47.10
"Doc. 001-001-000772332,   9700003000232 CONTIFICO - CONTIFICO PAYROL 5",01/06/2025,01dNz3O66IxrrdX7,DGe73Y47BH6xxen2,,D,47.10
"Doc. 001-001-000000439,   Confeccion uniformes FESLER",01/07/2025,mBdJ0EDwgFzmma0J,JvaM8N4KRt800epz,,H,348.70
SERVICIOS DE CORTE,01/07/2025,DGe7PB33yT6xxan2,kPbkRBElJu066a5Y,,D,250.89
SERVICIOS DE CORTE,01/07/2025,DGe7PB33yT6xxan2,DGe73Y47BH6xxen2,,H,250.89
97-COFIMAR ANA MAQUILA,01/07/2025,RMdR3WEgqhlkkel6,BXdL84rjWTOppdJZ,,D,355.00
"Doc. 001-001-000000176,   SERVICIOS DE CORTE",01/07/2025,XKdwJqprwiQzzbgW,DGe73Y47BH6xxen2,,D,250.89
"Doc. 001-001-000000176,   SERVICIOS DE CORTE",01/07/2025,XKdwJqprwiQzzbgW,MEegLgo2jhWxxaQ5,,H,250.89
"Doc. 002-001-000000003,   pago sueldo de junio",01/07/2025,PnazMwvZOtBppeO2,DGe73Y47BH6xxen2,,D,150.00
mano de obra,01/07/2025,01dNMxqAmcxrrbX7,nPeER14y4hGJJap1,,D,132.07
92-TRITON ANA MAQUILADORA,01/07/2025,9jaK3M3VnFwvvak5,DGe73Y47BH6xxen2,,H,126.00
92-TRITON ANA MAQUILADORA,01/07/2025,9jaK3M3VnFwvvak5,BXdL84rjWTOppdJZ,,D,126.00
mano de obra,01/07/2025,01dNMxqAmcxrrbX7,nPeER14pgTGJJap1,,D,880.46
"Doc. 002-001-000000003,   pago sueldo de junio",01/07/2025,PnazMwvZOtBppeO2,PnazpQZAOTBppdO2,,H,150.00
"Doc. 002-001-000000003,   pago sueldo de junio",01/07/2025,9jaK3V8XMuwvvak5,DGe73Y47BH6xxen2,,D,81.25
"Doc. 001-001-000000439,   Confeccion uniformes FESLER",01/07/2025,mBdJ0EDwgFzmma0J,loejqlr84CJMMdQM,,D,348.70
"Doc. 002-001-000000003,   pago sueldo de junio",01/07/2025,9jaK3V8XMuwvvak5,PnazpQZ4OIBppdO2,,H,81.25
CONFECCION DE CAMISAS Y BLUSAS,01/07/2025,0yelr92r5fK55bER,nPeER14mgIGJJap1,,H,184.80
CONFECCION DE CAMISAS Y BLUSAS,01/07/2025,0yelr92r5fK55bER,nPeER14mgIGJJap1,,H,301.20
CONFECCION DE CAMISAS Y BLUSAS,01/07/2025,0yelr92r5fK55bER,RMdR6k90VFlkkdl6,,H,72.90
CONFECCION DE CAMISAS Y BLUSAS,01/07/2025,0yelr92r5fK55bER,JvaM8N4KRt800epz,,D,558.90
mano de obra,01/07/2025,01dNMxqAmcxrrbX7,DGe73Y47BH6xxen2,,H,1012.53
"Doc. 002-002-000000073,   PUBLICIDAD EN REDES SOCIALES",01/07/2025,XKdwJq9pwtQzzbgW,loejqlr84CJMMdQM,,H,100.00
97-COFIMAR ANA MAQUILA,01/07/2025,RMdR3WEgqhlkkel6,DGe73Y47BH6xxen2,,H,355.00
PUBLICIDAD EN REDES SOCIALES,01/07/2025,PnazMzVMycBppeO2,nPeER14y4hGJJap1,,D,13.04
"Doc. 001-001-000000006,   asesoria",01/07/2025,PnazW2xgYFBppbO2,DGe73Y47BH6xxen2,,D,100.00
"Doc. 001-001-000000006,   asesoria",01/07/2025,PnazW2xgYFBppbO2,loejqlr84CJMMdQM,,H,100.00
"Doc. 001-001-000000464,   CONFECCION DE CAMISAS Y BLUSAS",01/07/2025,mBdJv22l9Tzmmd0J,JvaM8N4KRt800epz,,H,357.42
"Doc. 001-001-000000464,   CONFECCION DE CAMISAS Y BLUSAS",01/07/2025,mBdJv22l9Tzmmd0J,9pdBBO4yQum99d8K,,D,357.42
SUELDO + COMISIONES,01/07/2025,jZdyKDz86cWzzaJ4,DGe73Y47BH6xxen2,,H,1490.00
SUELDO + COMISIONES,01/07/2025,jZdyKDz86cWzzaJ4,kPbkRBElJu066a5Y,,D,490.00
SUELDO + COMISIONES,01/07/2025,jZdyKDz86cWzzaJ4,PnazpQZwysBppdO2,,D,1000.00
pago sueldo de junio,01/07/2025,YjbqznkN3TrPPdLN,nPeER14LYhGJJap1,,D,541.67
pago sueldo de junio,01/07/2025,YjbqznkN3TrPPdLN,DGe73Y47BH6xxen2,,H,622.92
pago sueldo de junio,01/07/2025,YjbqznkN3TrPPdLN,nPeER14y4hGJJap1,,D,81.25
"Doc. 001-001-000000456,   CAMISA/BLUSA EMPRESARIAL CON TELA COLUMBIA + BORDADO ESPALDA",01/07/2025,nPeEn2XYKTGJJap1,KVeZVjQj2HRVVe8P,,D,1311.00
"Doc. 001-001-000000456,   CAMISA/BLUSA EMPRESARIAL CON TELA COLUMBIA + BORDADO ESPALDA",01/07/2025,nPeEn2XYKTGJJap1,JvaM8N4KRt800epz,,H,1311.00
HENINKEN ELBORACION DE 186 CAMISAS M/C,01/07/2025,kPbkqLWVru066e5Y,Ejb2k2VNzsGJJdVN,,D,483.60
HENINKEN ELBORACION DE 186 CAMISAS M/C,01/07/2025,kPbkqLWVru066e5Y,DGe73Y47BH6xxen2,,H,483.60
"Doc. 001-002-000000064,   HENINKEN ELBORACION DE 186 CAMISAS M/C",01/07/2025,rRbD3oKokumKKa6L,DGe73Y47BH6xxen2,,D,483.60
"Doc. 001-002-000000064,   HENINKEN ELBORACION DE 186 CAMISAS M/C",01/07/2025,rRbD3oKokumKKa6L,MEegLgo2jhWxxaQ5,,H,483.60
"Doc. 002-001-000000003,   pago sueldo de junio",01/07/2025,1qdG3rkjKUlppdN8,DGe73Y47BH6xxen2,,D,391.67
"Doc. 001-002-000000299,   SUELDO + COMISIONES",01/07/2025,xgep4GYP1CLNNe1p,DGe73Y47BH6xxen2,,D,1175.27
"Doc. 002-001-000000003,   pago sueldo de junio",01/07/2025,1qdG3rkjKUlppdN8,MEegLgo2jhWxxaQ5,,H,391.67
PUBLICIDAD EN REDES SOCIALES,01/07/2025,PnazMzVMycBppeO2,LqdPNg4w1umrral4,,D,86.96
PUBLICIDAD EN REDES SOCIALES,01/07/2025,PnazMzVMycBppeO2,DGe73Y47BH6xxen2,,H,100.00
"Doc. 002-002-000000073,   PUBLICIDAD EN REDES SOCIALES",01/07/2025,XKdwJq9pwtQzzbgW,DGe73Y47BH6xxen2,,D,100.00
"Doc. 001-002-000000299,   SUELDO + COMISIONES",01/07/2025,xgep4GYP1CLNNe1p,PnazpQZAOTBppdO2,,H,1175.27
Flete,01/07/2025,KBe1K01xoUmDDbXy,nPeER14y4hGJJap1,,D,2.09
"Doc. 013-002-000704026,   Flete",01/07/2025,RMdRpgPLzIlkkal6,DGe73Y47BH6xxen2,,D,3.77
contifico,01/07/2025,rRbDmXQEKsmKKd6L,nPeER14y4hGJJap1,,D,6.14
"Doc. 001-001-000000077,   mano de obra",01/07/2025,JvaMLYlYmS800epz,DGe73Y47BH6xxen2,,D,275.00
"Doc. 001-001-000000077,   mano de obra",01/07/2025,JvaMLYlYmS800epz,loejqlr84CJMMdQM,,H,275.00
"Doc. 001-001-000000077,   mano de obra",01/07/2025,P9aQP3YGqUqEEeDM,DGe73Y47BH6xxen2,,D,732.00
"Doc. 001-001-000000077,   mano de obra",01/07/2025,P9aQP3YGqUqEEeDM,MEegLgo2jhWxxaQ5,,H,732.00
"Doc. 001-001-000000077,   mano de obra",01/07/2025,BleXZjgKVtNyybrN,DGe73Y47BH6xxen2,,D,5.53
"Doc. 001-001-000000077,   mano de obra",01/07/2025,BleXZjgKVtNyybrN,PnazpQZ4OIBppdO2,,H,5.53
"Doc. 001-001-000786015,   contifico",01/07/2025,9pdBVEvBxTm99d8K,DGe73Y47BH6xxen2,,D,47.10
"Doc. 013-002-000704026,   Flete",01/07/2025,RMdRpgPLzIlkkal6,MEegLgo2jhWxxaQ5,,H,3.77
contifico,01/07/2025,rRbDmXQEKsmKKd6L,DGe73Y47BH6xxen2,,H,47.10
"Doc. 013-002-000704026,   Flete",01/07/2025,jZdyq89yPTWzzdJ4,DGe73Y47BH6xxen2,,D,12.24
"Doc. 001-001-000786015,   contifico",01/07/2025,9pdBVEvBxTm99d8K,xmbmZ8JV3IYKKdoK,,H,47.10
Flete,01/07/2025,KBe1K01xoUmDDbXy,DGe73Y47BH6xxen2,,H,16.01
Flete,01/07/2025,KBe1K01xoUmDDbXy,BXdL904VrCOppeJZ,,D,13.92
97-COFIMAR CAMISETA POLO,01/07/2025,Ejb2LY6y1tGJJeVN,BXdL84rjWTOppdJZ,,D,62.50
97-COFIMAR CAMISETA POLO,01/07/2025,Ejb2LY6y1tGJJeVN,DGe73Y47BH6xxen2,,H,71.88
97-COFIMAR CAMISETA POLO,01/07/2025,Ejb2LY6y1tGJJeVN,nPeER14y4hGJJap1,,D,9.38
"Doc. 013-002-000704026,   Flete",01/07/2025,jZdyq89yPTWzzdJ4,MEegLgo2jhWxxaQ5,,H,12.24
contifico,01/07/2025,rRbDmXQEKsmKKd6L,RMdRo9qKOilkkel6,,D,40.96
"Doc. 079-050-000314850,   ALIMENTACION",01/08/2024,y7aApglMpHo33egZ,PnazpQZ4OIBppdO2,,H,35.64
"Doc. 079-050-000314850,   ALIMENTACION",01/08/2024,y7aApglMpHo33egZ,DGe73Y47BH6xxen2,,D,35.64
"Doc. 001-001-000629625,   SISTEMA CONTABLE CONTIFICO",01/08/2024,EMaxgwx6EH044e5G,PnazpQZ4OIBppdO2,,H,44.88
"Doc. 001-001-000629625,   SISTEMA CONTABLE CONTIFICO",01/08/2024,EMaxgwx6EH044e5G,DGe73Y47BH6xxen2,,D,44.88
COMISONES DEL MES DE JULIO,01/08/2025,YjbqK8Vz2urPPeLN,DGe73Y47BH6xxen2,,H,1250.00
